lemma	lat	eng
convenio	nōn modo inter patrēs, sed nē inter cōnsulēs quidem ipsōs conveniebat	not only among the senators, but also among the consuls themselves there was no agreement
converto	videō in mē omnium vestrum oculōs esse conversos	I see that all of your eyes are turned on me
converto	hāc ōrātiōne habita conversae sunt omnium mentes	since this speech was held, everyone has changed their mind
coorior	tum subitō tempestates sunt coortae	then suddenly the storms arose
copia	abundare dēbet orator exemplorum cōpia	an orator ought to have a plentiful supply of examples
copia	mihi copiam dedērunt fandi	they gave me an opportunity to speak
copia	cōpiās in aciem īnstruere	to marshal troops on the battle line
cor	tibi magnopere cordi est, mihi vehementer displicet	it is very pleasing to you, but it is strongly displeasing to me
cornu	cornū dextrō vel sinistro	on the right or left wing
corona	corōna civica	the civic crown, award for saving the life of a fellow-citizen
corpus	crēdō deōs immortālēs sparsisse animōs in corpora hūmāna	I believe that the immortal gods have distributed souls in human bodies
corripio	corripit hastam et iacit	he snatches the spear and throws it
corripio	morte subita correpti sunt	they were torn away by sudden death
corrumpo	frumentum incendiō corrūpērunt	they destroyed the grain with fire
corrumpo	aliquem pecūniā corrumpere	to bribe someone with money
creo	effētā tellūs vix animālia parvā creat	the exhausted earth produced the small animals with difficulty
creo	cōnsulum utique alter ex plēbe creatur	at least one consul is elected from the plebeians
credo	virtūtī mīlitum credidit	he believed in the courage of his soldiers
credo	vītam et fortūnam alicui crēdere	to entrust one’s life and fortune to someone
cresco	potentia paucōrum paulātim crēvit	the power of a few men grew gradually
crines	crīnibus pāssis	with hair let loose
crudelis	heu, fortūna, quis deus tē crūdēlior?	ah, Fortuna, what divinity is crueler than you?
cruentus	sanguine fraterno cruentus	stained with the blood of his brother
cruor	fluxit in terram remī cruor	the blood of Remus flowed into the ground
culpa	culpam trānstulit in aliōs	he transferred the blame onto others
cultus	cultū lēvī atque capite intecto	with light dress and an uncovered head
cultus	belgae ā cultū atque humanitate prōvinciae longissime absunt	The Belgae are the furthest removed from the life style and culture of the province
cum...tum	cōnsilia cum patriae tum sibi inimīca cēpit	he adopted policies unfavorable both to the fatherland and to himself
cum	cum clāmōre et tumultū	with clamor and commotion
cum	cenas hodiē mēcum	today you dine with me
cum	diēs haud multī intervenerant, cum vēnērunt lēgātī	not very many days had passed since the ambassadors arrived
cum	quīdam vīvere tunc incipiunt, cum desinendum est	some begin to live at the time when they must stop
cum	alexandrum uxor suā, cum simul cubāret, occidit	while she lay in bed with him, Alexander’s own wife killed him
cum	quae cum ita sint	because these things are thus
cum	socrates, cum facile posset educi ē cūstōdia, nōluit	although he could easily be led out from prison, Socrates was unwilling
cunctor	inter metum et īram cunctatus	hesitating between fear and wrath
cuncti	cūncta simul ēgērunt	they drove all things together
cupio	cognitiōnem jūris cōnsequī cupiō	I desire to attain knowledge of justice
cupido	aurī cupīdine captus est	he was overcome by his desire for gold
cur	quid est cūr irascaris?	what is the reason that you are angry?
cura	haec mihi cūrae sunt	these things are a concern to me
cura	rēgīna gravī iamdudum saucia cūra	the queen, now for a long time wounded by a deep love
curo	nihil omnīnō cūrō	I care about nothing at all
curo	cūra ut valeās	Be well! Take care!
curo	pontem in flūmine faciendum curavit	he had a bridge built over the river
curia	lēgātōs in cūriam introduxit	he led the ambassadors into the Senate-house
curro	lente currite, noctis equi	run slowly, horses of the night
cursus	cursū cum aliquō certāre	to compete with someone in running
cursus	cursus honōrum	a political career
cursus	nāvēs cursum tenēre nōn poterant	the ships were not able to keep on the course
curvus	curva lītora	the curved coast
custodia	tribūnus cūstōdiae adpositus	an officer appointed for guarding
custodia	socrates, cum facile posset educi ē cūstōdia, nōluit	although he could easily be led out from prison, Socrates was unwilling
damno	aliquem capitis damnare	to condemn someone to death
do	vitio mihi dant, quod mortem amīcī graviter ferō	they make it a fault of mine that I bear the death of a friend heavily
de	dē mūrō sēsē deiecērunt	they cast themselves down from the wall
de	imprimis nōbīs sermo dē tē fuit	we had a conversation about you especially
debeo	caesar grandem pecūniam dēbēbat	Caesar was in great debt
debeo	hominēs quī tē et maximē debuērunt et plūrimum juvāre potuērunt	the people who especially ought to help you and are most able to help you
decedo	dē vīta decessērunt	they have died
decerno	tumultum esse dēcrēvit senātūs	the Senate determined that there was rebellion
decerno	dēcrēvit senātūs ut statim in siciliam iret	the Senate resolved that he go to Sicily at once
decerno	alicui praemia dēcernere	to award prizes to someone
decet	oratorem īrāscī minimē decet	it is not at all fitting that an orator become angry
decimus	intrā decimum diem quam rōmam vēnerat	within ten days of when he had arrived in Rome
decretum	druidum dēcrētīs iudiciisque pārent	they obey the decisions and judgments of the druids
decurro	cum ārdentibus facibus ad tiberim decurrērunt	with blazing torches they ran down toward the Tiber
decus	cīvitātis dignitātem atque decus sustinēre	to support the dignity and honor of the state
decus	imperiī Rōmānī decus est	he is an ornament to the Roman realm
deditio	in deditionem vēnērunt	they surrendered
dedo	multōs mortālēs captivos dēdidērunt	they surrendered many people as prisoners of war
deduco	aliquem mēcum rōmam dēdūxī	I brought someone with me to Rome
desum	animus illīs, nōn cōpiae defuērunt	their courage was lacking, not their troops
defendo	gladiō sē ā multitūdine dēfendit	he defended himself against the crowd with a sword
defero	iri, decus caelī, quis tē mihi detulit	Iris, ornament of the sky, who sent you down to me?
defero	hūc delati portum intrāvimus	having arrived here, we entered the port
defero	aliquem maiestatis dēferre	to accuse someone of high-treason
deficio	sociī ā nōbīs dēfēcērunt	our allies abandoned us
deficio	vōx eum defecit	his voice failed him
deficio	ignem extrēmum dēficere videbat	he saw the last fire go out
deicio	dē mūrō sēsē deiecērunt	they cast themselves down from the wall
delecto	aut prodesse volunt aut dēlectāre poetae	poets desire either to benefit or to amuse
deligo	locum castrīs delegit	he selected a place for camp
demo	nec partem solidō demere dē diē spernit	he does not scorn to take away a part from the entire day
demitto	omnēs oculōs demisērunt	all lowered their eyes
demum	tunc dēmum cīvitās lībera erit	then at last the state will be free
denique	quid mihi dēnique restat?	what still remains for me?
denique	pergamum, smyrna, trallis, tota dēnique asiā	Pergamum, Smyrna, Trallis, in short, all of Asia
densus	per medium dēnsī populī incessit	she proceeded through the middle of the dense crowd
depello	patris inimīcōs depulit	he drove out the enemies of his father
depono	difficile est longum subitō dēpōnere amōrem	it is hard to end an enduring passion suddenly
depono	aurum apud mē dēposuit	he has entrusted his gold to me
descendo	ē curru dēscendit	he descended from the chariot
desero	sē dēsertō in lītore condunt	they hide on a deserted beach
desiderium	desiderium est libīdō ejus, quī nōn adsit, videndi	desiderium is the desire to see someone who is not present
desino	quīdam vīvere tunc incipiunt, cum desinendum est	some begin to live at the time when they must stop
destino	tempus locumque ad certāmen destinavērunt	they determined a time and place for the contest
destino	cōnsulem aliquem destinare	to appoint someone as consul
deus	hōs deōs colere dēbēmus	we ought to worship these gods
dexter	dextram manum alicui porrigere	to extend one’s right hand to someone
dexter	ā dexterā parte	from the right
dico	dictatorem aliquem dīcere	to appoint someone as dictator
dies	iulia suprēmum diem obiit	Iulia died
differo	ventī vīs nūbēs differt	the force of the wind scatters the clouds
differo	differre aliquem in aliud tempus	to put someone off until another time
differo	hī omnēs linguā inter sē diffērunt	they all differ from each other in language
dignitas	in rēbus asperis dignitātem retinebat	he was maintaining his dignity in difficult circumstances
dignus	summā laude dignus est	he is worthy of the highest praise
dignus	illae fābulae dignae sunt quae iterum legantur	those stories are worth reading repeatedly
digredior	cōnsulēs in prōvinciās digrediuntur	the consuls depart for the provinces
digredior	ad id unde digressi sumus regrediamur	let us return to the point where our digression began
dilabor	duce āmissō exercitus dīlāpsus est	with the leader lost, the army dispersed
dilabor	rēs pūblica dilabitur	the republic is in decline
dilectus	habuit dīlēctum in umbria	he held a draft in Umbria
diligo	uxōrem admodum dīlēxit	he was completely in love with his wife
dimitto	nūntiōs in omnēs partēs dīmīsit	he sent messengers in all directions
dimitto	eōs impunitos dīmīsit	he let them go unpunished
diripio	pentheum diripuērunt bacchae	the Bacchae tore Pentheus apart
diripio	capuam mīlitibus diripiendam permisit	he gave Capua to the soldiers to be plundered
discedo	uxor ā dolabella discessit	Dolabella’s wife left him
disco	magistri dum docent, discunt	while the teachers teach, they learn
discordia	discordia cīvīlis	civil discord
discrimen	omisso discrīmine	without discrimination
discrimen	opem mihi ultimō in discrīmine tulit	he helped me in extreme danger
dispergo	in omnēs partēs dispersa est multitūdō	the crowd scattered in all directions
dispono	familiārēs suōs in via disposuit	he stationed his confidants at intervals on the way
dispono	homeri libros anteā confusos disposuit	he arranged the books of Homer, which were previously jumbled
dissero	eā dē rē disserere aggredior	I am beginning to discuss this matter
dissimulo	clarior rēs erat quam ut dissimulari posset	the matter was more clear than that it could be hidden
diversus	ut pār ingeniō, ita morum diversus	although he is equal in ability, yet he is of a different character
diversus	dīversōs affectūs exprimere, flentīs et gaudentīs	to express contrary feelings, to cry and to rejoice
dives	pauperēs notabis nihilō trīstiōrēs aut sollicitiores divitibus	you will note that poor men are not at all sadder nor more troubled than rich men
divido	Italia Siciliaque parvo spatiō inter sē divisae sunt	Italy and Sicily are separated by a short distance
